city,neighbourhood,description,link,House No.,Area,Price_per_month,Number_of_rooms,Floor,No_of_floors,Build_year,Building_type,Heating_system,Equipment,energy_class,Nearest_kindergarten,Nearest_educational_institution,Nearest_shop,Public_transport_stop,Description,Additional premises,Additional Equipment,Security,Flat No.,Building Energy Efficiency Class,USEFUL
Vilnius,Senamiestis,"Vilnius, Senamiestis, Totorių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-totoriu-g-nuomojamas-butas-senamiestyje-totoriu-g-4-1077423/,30,65.35 ,700 ,2,1,2,1930,Brick,Central,Fully equipped,1 Class Good (1-3),330.0,170.0,250.0,210.0,Private entrance High ceiling Private yard,Parking space,Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower,Steel doors Alarm system Code door lock Video surveillance,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Trakų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-traku-g-butas-po-remonto-funkcionalaus-isplanavimo-4-1106263/,,51.47 ,650 ,2,2,3,1940,Brick,Central,Fully equipped,1 Class Good (1-3),80.0,90.0,150.0,100.0,,,,,,,
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Perkūnkiemio g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-1-k-buto-nuoma-perkunkiemio-g-laisvas-4-1106173/,18,40 ,420 ,1,6,9,2007,Brick,Central thermostat,Fully equipped,1 Class Good (1-3),90.0,940.0,330.0,60.0,Private entrance New sewage system New electrical installation,Balcony,Furniture Washing machine Refrigerator Kitchen furniture Stove Dish washer Bath,Steel doors Code door lock,,A++,
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Pašilaičių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-pasilaiciu-g-jaukus-siuolaikiskai-irengtas-butas-su-terasa-4-1106157/,,56 ,510 ,2,1,5,2004,Block house,Gas,Fully equipped,,160.0,260.0,410.0,110.0,,Terrace Parking space Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Bath,Steel doors Alarm system Code door lock,,,
Vilnius,Naujininkai,"Vilnius, Naujininkai, Panevėžio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-panevezio-g-naujai-irengtas-2-kambariu-svetaine-su-4-1106139/,23,47 ,580 ,2,3,4,2021,Monolithic,Electric,Fully equipped,,190.0,140.0,190.0,190.0,New sewage system New electrical installation Private yard Kitchen merged with room,Balcony Parking space Closet,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower,Steel doors Code door lock Video surveillance,,A,
Vilnius,Naujininkai,"Vilnius, Naujininkai, Vandentiekio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-vandentiekio-g-isnuomuojamas-2-kambariu-butas-vandentiekio-4-1106087/,,41 ,380 ,2,3,4,1960,Brick,Central,Fully equipped,,120.0,160.0,270.0,120.0,,Balcony,Washing machine Furniture Refrigerator Kitchen furniture Stove,Code door lock,,,
Vilnius,Užupis,"Vilnius, Užupis, Užupio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-uzupyje-uzupio-g-isnuomojamas-visiskai-irengtas-2-kambariu-4-1106089/,19,41 ,550 ,2,1,4,1940,Brick,Gas,Fully equipped,,0.0,340.0,260.0,180.0,,,,,28,,
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Sėlių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-seliu-g-isnuomojamas-jaukus-40-kvm-2-kambariu-butas-4-216249/,13,40 ,599 ,2,4,5,2005,Brick,Electric,Fully equipped,,280.0,150.0,380.0,230.0,,Balcony Parking space,Washing machine Furniture Refrigerator Stove,Code door lock,,,
Vilnius,Paupys,"Vilnius, Paupys, Aukštaičių g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-paupyje-aukstaiciu-g-isnuomuojamas-dar-negyventas-ka-tik-irengtas-4-1105649/,19,34.39 ,670 ,1,1,4,2019,Brick,Central thermostat,Fully equipped,,620.0,480.0,330.0,90.0,,,,,,,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Tauro g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-tauro-g-nuomuojamas-2-kambariu-butas-strategiskai-4-1105897/,12,47.81 ,660 ,2,5,5,"1941 construction, 2021 renovation",Brick,Gas,Fully equipped,,370.0,320.0,300.0,240.0,Flat in an attic New sewage system New electrical installation Kitchen merged with room,,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer,Steel doors Code door lock,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Pilies g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pilies-g-jaukus-bei-ramus-kas-yra-reta-pacioje-4-1105827/,17,60 ,750 ,3,2,2,"1960 construction, 2010 renovation",Brick,Central,Fully equipped,1 Class Good (1-3),630.0,150.0,20.0,210.0,,,,,,,
Vilnius,Santariškės,"Vilnius, Santariškės, J. Franko g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-santariskese-j-franko-g-2006-ais-metais-su-dizaineres-pagalba-4-1083489/,14,63 ,600 ,2,2,3,2006,Brick,Central thermostat,Fully equipped,1 Class Good (1-3),260.0,660.0,160.0,330.0,Internet Cable television Kitchen merged with room,Storeroom Balcony Parking space,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath,Steel doors Alarm system Code door lock,,,
Vilnius,Naujininkai,"Vilnius, Naujininkai, Prūsų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-prusu-g-isnuomojamas-sviesus-2-kambariu-butas-4-1105801/,12,33.3 ,400 ,2,5,5,1985,Brick,Central,Fully equipped,1 Class Good (1-3),260.0,200.0,320.0,160.0,New sewage system New electrical installation Internet Cable television Kitchen merged with room Place of residence can be declared,Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower,Steel doors Code door lock,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Savičiaus g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-vos-30-metru-nuo-rotuses-aikstes-labai-4-1105783/,9,50 ,600 ,2,3,4,1940,Brick,Gas,Fully equipped,,510.0,90.0,140.0,170.0,New sewage system New electrical installation Private yard Internet Cable television Place of residence can be declared,,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes,Alarm system,,,
Vilnius,Lazdynai,"Vilnius, Lazdynai, Architektų g., 4 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-nuomojame-keturiu-kambariu-buta-lazdynuose-4-1105779/,106,80 ,400 ,4,5,5,"1971 construction, 2005 renovation",Block house,Central,Fully equipped,,70.0,240.0,230.0,200.0,,,,,,,
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Kalvarijų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-1-kamb-buto-nuoma-isnuomojamas-1-k-butas-4-1105765/,184,20 ,400 ,1,1,9,1979,Brick,Central,Fully equipped,1 Class Good (1-3),40.0,230.0,300.0,220.0,Cable television Internet New sewage system Kitchen merged with room,Balcony,Furniture Plastic pipes Washing machine Refrigerator Kitchen furniture Stove Shower,Code door lock,,,
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Sakalų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-sakalu-g-isnuomojamas-jaukus-butas-su-baldais-buitine-4-1105731/,,49 ,650 ,2,3,4,2000,Brick,Electric,Fully equipped,,130.0,320.0,160.0,100.0,Private yard Kitchen merged with room,Balcony Parking space,Washing machine Furniture Refrigerator Kitchen furniture Shower,Steel doors Code door lock Video surveillance,,B,
Vilnius,Karoliniškės,"Vilnius, Karoliniškės, Virginijaus Druskio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-virginijaus-druskio-g-2-atskiru-kambariu-buto-nuoma-karoliniskese-4-634961/,6,47 ,420 ,2,2,5,1974,Block house,Central,Partial decoration,,220.0,200.0,200.0,230.0,Cable television,Balcony Cellar,Washing machine Refrigerator Stove Bath,Code door lock,,,Interior designers
